NOMBRE,TIRANTE,INICIOINST,FINALINST,NUMDIAS,PESO,COORDX,COORDY,DESN,RANGO
MAY-B,12.2,09-nov-04,08-dic-04,29,650,545010.5,2068010.89,20,1
MAY-A,14.1,01-oct-04,28-oct-04,27,727,542768.3,2069881.2,114,1
PP-TSIMIN-D,14.4,01-jun-14,01-jul-14,30,1230,531863.79,2067913.79,73,1
PP-XUX-A,14.9,02-nov-12,29-nov-12,27,949,526964,2066672,20,1
PP-TSIMIN-B,16.5,04-feb-12,22-feb-12,18,1553,533506.79,2070192.79,84,1
PP-TSIMIN-C,16.6,13-mar-13,23-may-13,71,1420,531401,2069901,79,1
PP-XUX-B,16.7,26-oct-12,26-nov-12,31,1180,524937.8,2065929.8,123,1
YAXCHE-A,21.7,29-oct-05,25-dic-05,57,916.3,469950.94,2046735.37,92,2
PP-CAAN-A,25.3,07-may-86,14-may-86,7,834.6,595794.72,2125528.45,62,2
PP-CAAN-C,25.8,02-abr-91,10-abr-91,8,790.2,599834.4,2126252.7,48,2
PP-ABK-P,26.83,26-nov-87,04-dic-87,8,789.3,582420.04,2117254.29,78,2
PP-ABK-S,27.68,05-jul-89,15-jul-89,10,1040.5,583902.53,2120298.71,66,2
PP-ABK-Q,28.6,08-dic-87,18-dic-87,10,784.7,585016.23,2122274.55,36,2
PP-ABK-R,29.26,25-oct-88,07-nov-88,13,861.8,585547.79,2123698.55,56,2
PP-ABK-N,29.56,06-nov-87,14-nov-87,8,974.3,587112.1,2125218.81,63,2
PP-CHUC-A,31.7,10-nov-82,25-nov-82,15,952.5,575006.31,2120707.13,76,2
PP-ABK-I,32,04-sep-82,21-sep-82,17,979.8,587578.59,2129132.68,87,2
PP-CHUC-B,32.2,05-abr-83,20-abr-83,15,952.5,573010.86,2116979,55,2
PP-ABK-J,32.7,04-ago-82,21-ago-82,17,979.8,591162.4,2131212.03,97,2
PP-POL-C,33.22,27-sep-84,10-oct-84,13,997.9,577544,2125670,61,2
PP-POL-A,33.83,08-jul-81,14-jul-81,6,1016,578351.45,2127065.08,87,2
PP-ABK-F,34.47,17-mar-81,15-abr-81,29,997.9,588778.05,2131222.58,87,2
PP-SINAN-D,34.74,28-oct-05,14-dic-05,47,1213.8,534361.9,2092996.6,50,2
PP-ABK-E,35.02,20-dic-79,04-ene-80,15,880,585597.23,2131141.28,124,2
PP-ABK-G,35.95,06-oct-81,16-oct-81,10,1034.2,590404.43,2134030.56,100,2
SINAN-B,35.96,31-ago-05,30-sep-05,30,1179.3,537945.53,2096159.57,2,2
PP-ABK-A,36.1,24-abr-79,02-may-79,8,898.1,587124.03,2133598.3,94,2
SINAN-A,36.3,24-dic-05,30-ene-06,37,1270.1,539131.8,2097241.2,108,2
SINAN-C,36.4,29-jul-05,13-oct-05,76,1233.8,536638.49,2095385.02,54,2
PP-POL-D,37.49,12-dic-81,06-ene-82,25,1052.3,575546,2127736,96,2
PP-ABK-B,37.7,13-mar-91,18-abr-91,36,1115.8,587472.46,2134195.29,83,2
PP-NOHOCH-B,38.1,26-ene-79,10-feb-79,15,907.2,604571.17,2138974.08,96,2
PP-ABK-O,38.1,02-ago-86,14-ago-86,12,907.2,580918.67,2132230.76,51,2
PP-ABK-D,38.8,24-ene-80,19-feb-80,26,1061.4,583970.81,2133938.53,149,2
PP-NOHOCH-C,39,19-feb-91,05-mar-91,14,1065.9,606517.86,2140932.55,54,2
PP-AKAL-R,39.6,24-abr-80,06-may-80,12,1061.4,600037.25,2139451.78,85,2
PP-ABK-C,39.79,25-nov-79,01-ene-80,37,952.5,585512.94,2136713.55,95,2
PP-NOHOCH-A,40.23,12-nov-78,25-nov-78,13,952.5,604545.45,2141637.33,88,3
PP-CHAC-A,40.3,19-jul-89,28-jul-89,9,952.5,608531.62,2143047.62,51,3
PP-AKAL-S,40.84,11-mar-86,25-mar-86,14,1124.9,597720.51,2140968.17,43,3
PP-AKAL-H,42.02,28-may-85,21-jun-85,24,1106.8,601722.38,2142354.19,70,3
PP-AKAL-G,42.06,17-may-79,28-may-79,11,966.2,599692.59,2143026.18,110,3
PP-AKAL-P,42.2,07-may-80,17-may-80,10,1102.2,597319.48,2143055.28,90,3
PP-AKAL-I,43.28,13-abr-79,21-abr-79,8,979.8,603360.43,2145086.12,87,3
PP-ABK-H,43.32,17-jul-80,25-jul-80,8,1115.8,582004.41,2138680.65,59,3
PP-AKAL-C,44.19,24-oct-78,05-nov-78,12,988.8,600822.69,2145108.35,22,3
PP-AKAL-D,44.5,02-jun-79,13-jun-79,11,993.4,602158.02,2147176.39,523,3
PP-AKAL-F,44.7,10-feb-79,21-feb-79,11,988.8,598453.97,2145016.96,69,3
PP-AKAL-O,45.11,26-oct-79,10-nov-79,15,997.9,596464.34,2145884.35,70,3
PP-AKAL-E,45.41,19-jun-79,30-jun-79,11,997.9,599733.61,2147225.64,75,3
PP-AKAL-J,46.63,27-dic-78,25-ene-79,29,1016,596990.29,2148277.13,96,3
PP-BATAB-A,46.93,19-ago-86,30-ago-86,11,1088.6,571725.3,2133717.9,32,3
PP-AKAL-N,47.24,05-feb-80,23-feb-80,18,1161.2,598512.59,2149280.92,76,3
SIHIL-A,47.5,23-abr-06,11-may-06,18,1749.5,597010.67,2147499.25,151,3
PP-AKAL-B,47.85,28-oct-89,07-nov-89,10,1025.1,601400,2149885,59,3
PP-AKAL-M,48.46,20-mar-80,01-abr-80,12,1179.3,598536.74,2152021.45,43,3
PP-UECH-A,48.7,05-jul-86,18-jul-86,13,1179.3,549105.28,2111359.59,59,3
PP-BALAM-A,48.7,10-ene-14,01-ago-14,203,1830,610034.2,2154601.85,108,3
PP-IXTOC-A,49.38,22-dic-82,02-ene-83,11,1188.4,582772.29,2145815.32,100,3
PP-AKAL-L,49.38,16-feb-86,27-feb-86,11,1034.2,596169.3,2150610.33,83,3
PP-EK-A,51.2,21-may-88,04-jun-88,14,1132.2,604931.99,2157058.92,27,3
PP-EK-A2,51.3,15-mar-14,17-may-14,63,1824,604791.51,2157360.95,57,3
PP-KU-C,57.4,24-feb-05,31-mar-05,35,1539.5,589197.36,2155651.51,70,3
PP-KU-F,57.91,02-jul-80,12-jul-80,10,1292.7,586718.05,2155607,36,3
PP-KU-S,59.56,08-jul-05,06-ago-05,29,1832.5,588733.45,2157838.41,101,3
PP-BACAB-A,64.18,17-oct-87,30-oct-87,13,1433.4,595383.34,2163890.22,75,4
PP-KU-A,69.39,03-abr-80,22-abr-80,19,1360.8,585117.54,2158370.28,78,4
PP-KU-M,71.32,22-jul-80,01-ago-80,10,1451.5,585573.53,2163167.19,68,4
IXTAL-A,71.7,10-sep-04,22-oct-04,42,760.2,568617.5,2143399.8,189,4
PP-ZAAP-B,73.76,31-dic-05,10-feb-06,41,1012.4,582349.08,2162491.4,82,4
PP-ONEL-A,75.5,22-sep-12,16-oct-12,24,,583021.14,2137951.15,118,4
PP-KU-H,77.23,06-may-80,17-may-80,11,1496.9,583917.75,2166072.85,76,4
PP-ZAAP-C,78.3,22-dic-91,07-ene-92,16,2138.2,580147.96,2163243.66,80,4
MANIK-A,79.2,26-mar-05,26-may-05,61,2346.9,570020.89,2148131.6,90,4
PP-ZAAP-A,82.3,07-sep-05,13-oct-05,36,890.4,578099.06,2163272.94,99,5
PP-ZAAP-D,82.91,12-nov-05,21-dic-05,39,788.8,576594.31,2163036.04,26,5
PP-MALOOB-A,84.25,28-abr-05,31-may-05,33,2685.3,579765.17,2166864.86,67,5
PP-MALOOB-C,85.5,14-jul-09,29-ago-09,46,3315.8,581870.86,2166130.67,92,5
PP-MALOOB-B,91.4,10-jun-05,30-jun-05,20,2422.2,577799.3,2168150.3,75,5
